,date,groundwater
1,1/1/09,13.73833333
2,2/1/09,13.73833333
3,3/1/09,13.73833333
4,4/1/09,13.73833333
5,5/1/09,13.73833333
6,6/1/09,13.73833333
7,7/1/09,13.73833333
8,8/1/09,13.73833333
9,9/1/09,13.73833333
10,10/1/09,13.73833333
11,11/1/09,13.73833333
12,12/1/09,13.73833333
13,1/1/10,12.05666667
14,2/1/10,12.05666667
15,3/1/10,12.05666667
16,4/1/10,12.05666667
17,5/1/10,12.05666667
18,6/1/10,12.05666667
19,7/1/10,12.05666667
20,8/1/10,12.05666667
21,9/1/10,12.05666667
22,10/1/10,12.05666667
23,11/1/10,12.05666667
24,12/1/10,12.05666667
25,1/1/11,13.55083333
26,2/1/11,13.55083333
27,3/1/11,13.55083333
28,4/1/11,13.55083333
29,5/1/11,13.55083333
30,6/1/11,13.55083333
31,7/1/11,13.55083333
32,8/1/11,13.55083333
33,9/1/11,13.55083333
34,10/1/11,13.55083333
35,11/1/11,13.55083333
36,12/1/11,13.55083333
37,1/1/12,13.5575
38,2/1/12,13.5575
39,3/1/12,13.5575
40,4/1/12,13.5575
41,5/1/12,13.5575
42,6/1/12,13.5575
43,7/1/12,13.5575
44,8/1/12,13.5575
45,9/1/12,13.5575
46,10/1/12,13.5575
47,11/1/12,13.5575
48,12/1/12,13.5575
49,1/1/13,13.32
50,2/1/13,13.32
51,3/1/13,13.32
52,4/1/13,13.32
53,5/1/13,13.32
54,6/1/13,13.32
55,7/1/13,13.32
56,8/1/13,13.32
57,9/1/13,13.32
58,10/1/13,13.32
59,11/1/13,13.32
60,12/1/13,13.32
61,1/1/14,15.66666667
62,2/1/14,15.66666667
63,3/1/14,15.66666667
64,4/1/14,15.66666667
65,5/1/14,15.66666667
66,6/1/14,15.66666667
67,7/1/14,15.66666667
68,8/1/14,15.66666667
69,9/1/14,15.66666667
70,10/1/14,15.66666667
71,11/1/14,15.66666667
72,12/1/14,15.66666667
73,1/1/15,15.65833333
74,2/1/15,15.65833333
75,3/1/15,15.65833333
76,4/1/15,15.65833333
77,5/1/15,15.65833333
78,6/1/15,15.65833333
79,7/1/15,15.65833333
80,8/1/15,15.65833333
81,9/1/15,15.65833333
82,10/1/15,15.65833333
83,11/1/15,15.65833333
84,12/1/15,15.65833333
85,1/1/16,12.41666667
86,2/1/16,12.41666667
87,3/1/16,12.41666667
88,4/1/16,12.41666667
89,5/1/16,12.41666667
90,6/1/16,12.41666667
91,7/1/16,12.41666667
92,8/1/16,12.41666667
93,9/1/16,12.41666667
94,10/1/16,12.41666667
95,11/1/16,12.41666667
96,12/1/16,12.41666667
97,1/1/17,14.12583333
98,2/1/17,14.12583333
99,3/1/17,14.12583333
100,4/1/17,14.12583333
101,5/1/17,14.12583333
102,6/1/17,14.12583333
103,7/1/17,14.12583333
104,8/1/17,14.12583333
105,9/1/17,14.12583333
106,10/1/17,14.12583333
107,11/1/17,14.12583333
108,12/1/17,14.12583333
109,1/1/18,14.13333333
110,2/1/18,14.13333333
111,3/1/18,14.13333333
112,4/1/18,14.13333333
113,5/1/18,14.13333333
114,6/1/18,14.13333333
115,7/1/18,14.13333333
116,8/1/18,14.13333333
117,9/1/18,14.13333333
118,10/1/18,14.13333333
119,11/1/18,14.13333333
120,12/1/18,14.13333333
121,1/1/19,11.03666667
122,2/1/19,11.03666667
123,3/1/19,11.03666667
124,4/1/19,11.03666667
125,5/1/19,11.03666667
126,6/1/19,11.03666667
127,7/1/19,11.03666667
128,8/1/19,11.03666667
129,9/1/19,11.03666667
130,10/1/19,11.03666667
131,11/1/19,11.03666667
132,12/1/19,11.03666667
