Year,Month,Amt directly diverted or collected to sotrage (MG),,,
2008,January,164.2775666,,,
2008,February,262.7274888,,,
2008,March,198.4342884,,,
2008,April,104.7718312,,,
2008,May,92.77247971,,,
2008,June,54.87171476,,,
2008,July,31.21058943,,,
2008,August,17.5540385,,,
2008,September   ,13.77930645,,,
2008,October,12.58244019,,,
2008,November,22.15737028,,,
2008,December,7.794975139,,,
2009,January,14.88410607,,,
2009,February,104.8638978,,,
2009,March,229.337989,,,
2009,April,110.0503183,,,
2009,May,94.12279036,,,
2009,June,66.56417747,,,
2009,July,45.51160682,,,
2009,August,24.95005822,,,
2009,September   ,15.89683906,,,
2009,October,48.05878373,,,
2009,November,44.71369597,,,
2009,December,50.72871616,,,
2010,January,95.1359,,,
2010,February,220.9608,,,
2010,March,314.316738,,,
2010,April,322.295878,,,
2010,May,262.636462,,,
2010,June,177.044841,,,
2010,July,123.001512,,,
2010,August,83.105812,,,
2010,September   ,53.981951,,,
2010,October,57.050851,,,
2010,November,82.676166,,,
2010,December,154.67256,,,
2011,January,273.623124,,,
2011,February,112.62863,,,
2011,March,226.055174,,,
2011,April,325.825113,,,
2011,May,295.473692,,,
2011,June,221.237001,,,
2011,July,229.737854,,,
2011,August,186.558431,,,
2011,September   ,111.155558,,,
2011,October,123.06289,,,
2011,November,95.995192,,,
2011,December,75.679074,,,
2012,January,34.67857,,,
2012,February,4.634039,,,
2012,March,38.66814,,,
2012,April,40.754992,,,
2012,May,43.455624,,,
2012,June,8.869121,,,
2012,July,105.201892,,,
2012,August,98.235489,,,
2012,September   ,89.30499,,,
2012,October,64.201388,,,
2012,November,49.1024,,,
2012,December,56.866717,,,
2013,January,35.323,Acre-feet(?),,
2013,February,4.787,,,
2013,March,0,,,
2013,April,3.468,,,
2013,May,7.611,,,
2013,June,0,There was a streambed alteration going on so Santa Cruz stopped diverting from this creek,,
2013,July,0,,,
2013,August,0,,,
2013,September   ,0,,,
2013,October,0,,,
2013,November,0,,,
2013,December,0,,,
2014,January,0,,,
2014,February,0,,,
2014,March,5.524,,,
2014,April,5.77,,,
2014,May,0,,,
2014,June,0,,,
2014,July,0,,,
2014,August,0,,,
2014,September   ,0,,,
2014,October,0,,,
2014,November,0,,,
2014,December,0,,,
2015,January,0,,,
2015,February,0,,,
2015,March,0,,,
2015,April,0,,,
2015,May,0,,,
2015,June,0,,,
2015,July,0,,,
2015,August,0,,,
2015,September,0,,,
2015,October,0,,,
2015,November,0,,,
2015,December,0,,,
2016,January,0,,,
2016,February,31.27,,,
2016,March,45.97,,,
2016,April,45.57,,,
2016,May,26.91,,,
2016,June,14.67,,,
2016,July,0,,,
2016,August,0,,,
2016,September   ,0,,,
2016,October,0,,,
2016,November,0,,,
2016,December,22.74,,,
2017,January,135.64,,,
2017,February,95.1,,,
2017,March,254.2,,,
2017,April,169.13,,,
2017,May,187.6,,,
2017,June,86.24,,,
2017,July,113.73,,,
2017,August,47.23,,,
2017,September   ,14.06,,,
2017,October,0,,,
2017,November,0,,,
2017,December,0,,,
2018,January,0,,,
2018,February,0,,,
2018,March,5.87,,,
2018,April,0.03,,,
2018,May,0,,,
2018,June,3.46,,,
2018,July,0,,,
2018,August,0,,,
2018,September   ,0,,,
2018,October,0,,,
2018,November,0,,,
2018,December,1.92,,,
2019,January,0.71,,,
2019,February,65.54,,,
2019,March,153.35,,,
2019,April,260.3,,,
2019,May,143.27,,,
2019,June,192.17,,,
2019,July,96.62,,,
2019,August,36.41,,,
2019,September   ,5.89,,,
2019,October,0,,,
2019,November,0,,,
2019,December,0,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
